@Josefilho1521 Mesmo
"@Josefilho1521 Vão sim, ficarão lá sempre"
@PedroPithan Eae descobriu o q foram os cortes no pulso?
@vitorscampos Não to jogando agora
Queria que tivesse um All or Nothing no Black Ops 2
"@dielcaires Eu gosto bastante de lá cara. Parece ter absolutamente tudo q vc poderia querer hehe, exceto frio claro"
@dielcaires Ah então vc ja manja hehe
"@dielcaires Quando for para o Pier, estacione no shopping Santa Monica Place, é só 1 dólar e fica bem pertinho de lá."
"@dielcaires Cara, honestamente estacionamento é um inferno lá. Nunca ponha em meio fio vermelho e procure todas as placas de restrições"
"@Batman_sweet Tá tudo gravado :) Só clicar em ""Videos"" lá embaixo http://t.co/s4Ujy3ghoi"
"@Hardseet Vai sim, se pá já ta la inclusive"
A live voltou! Faz uns 15 minutos ja mas blz! http://t.co/OCEUwqzQ2e
Voltou a live já? To tentando faz uns minutos ja lol
Funkystream rolando! Manda ver http://t.co/eTAxZbJV5X
Vídeo novo ::::: COD MW3 - Partidas em RITMO DE FESTA http://t.co/gtcdgPqnAM
"@MatheusEsen Q isso, falei na #zuera"
"Meu video já ta no ar há tipo meia hora e o Youtube ainda não publicou, manda ver https://t.co/w0NLwbIGc2"
@MatheusEsen Se reclamar tem 2 lives
"Já aviso los señores e señoritas 
Vai ter live hoje sim, por volta das 20h, mas antes um video do queridíssimo MW3 daqui a pouco"
@MarquesZero Por obsequio
"@MarquesZero Marques, cola no skype la"
"Pessoal, vou deixar pra criar a crew na proxima live de GTA V, hoje num deu."
Comecei a live! Bora lá caraiooooo http://t.co/eTAxZbJV5X
"To aqui com o Zigueira e o Edu, olha só http://t.co/jG8vqdcvFu"
"Pessoal, fui fazer uma gravação local e acabei transmitindo pro Azubu sem querer, lol, ignorem. A live será às 20h."
@MarquesZero @Pedro_RCV Tentando Dxtoryzar o OBS e o OBS crasha
@NelsonBarbosas @MarquesZero @Pedro_RCV Ainda assim ocupa muito a tela. Preciso de muitas janelas no segundo monitor
"@MarquesZero @Pedro_RCV Puts, ai ocupando todo o segundo monitor é poda"
"@MarquesZero @Pedro_RCV @victorludgero Aí então o Dxtory só captura o gameplay e o som, certo? Facecam necas?"
"@Pedro_RCV @MarquesZero @victorludgero Não rola Dxtory/Action com o OBS né, da conflito"
@IWatchYou_ Talvez saia ainda. Mas não quero ficar fazendo nessa qualidade ruim
"@Pedro_RCV @victorludgero Pode crer. Tenho que testar o Xsplit, faz mó cara que não testo e deve estar bem melhor"
"@Guradical007 Ah, é cansativo fazer sim, mas não no sentido de enjoar"
"@GermanoPohle Tente outro navegador, talvez role"
@nandoSilva37 =)
@victorludgero Vou testar saparada ai
"@isPuds_ Po, brigado mano"
@Thecrashtruth Por enquanto sim
@victorludgero Processamento a pa
@victorludgero Não pesa mais não?
@Guradical007 Não. Na verdade to ficando cada vez mais acostumado
Ele grava separadamente com placa de captura. Isso é possivel quando se joga no console apenas https://t.co/oTonHXq8ZS
@victorludgero Baixado do Azubu
"Tava querendo levar alguns momentos das lives anteriores pro Youtube, mas a qualidade da gravação is a shit. http://t.co/NM7tX9ldSN"
"""Você vai instalar o Win 10?"" Eu prefiro não mexer no que está funcionando. Sony Vegas, estou olhando pra você"
Nada como ir pra live de outra pessoa e não ter a responsabilidade de cuidar de tudo http://t.co/8Hn0JWIwzM
"@moura_miguel Ele puxou as informações do SocialBlade. Estão ""corretas"", mas extremamente imprecisas"
@heyviiny_ @dodohria Cressam
@heyviiny_ Aff criamça
"A epopeia pra solucionar o input lag foi doida, resolver o problema junto com o público no chat foi lindo #EADevolveOBattlefieldPraSteam"
"BF4 não me agradou muito hoje, vou aproveitar e botar toda a culpa na Origin"
"E começa mais uma Funkystream, cola lá se você for hardcore http://t.co/eTAxZbJV5X"
Vídeo novo ::::: FTC - Black Ops - #15: Levando o time nas Costas http://t.co/mQG69upoqf
Eae ciganada já prepara seu home tiute que a live vai começar lá pelas 20h http://t.co/OCEUwqzQ2e
@pedrom_castro Boas
@jacob_gui Ainda não sei :)
@IgnisFairy Normalmente todo dia de semana às 20h
Vai sim. Mas depende da hora que o FTC BO1 for ao ar https://t.co/mtwjCULJH0
Ih alá http://t.co/RYnvV80JXS
"@FunkyJogueGTA2 Mano, vc me convenceu, eu jogarei GTA 2 em live qualquer hora dessas. Vai ser engraçado"
"Como café é bom né, quem é ET o suficiente pra viver sem café?"
Bipolaridade a essa hora da manhã
"RT @PoP_Guilherme: @FunkyBlackCat na live de hoje , não jogue aquele rocket jogo chato kkkk mais se jogar de boa"
It's each one
RT @FunkyJogueGTA2: @FunkyBlackCat http://t.co/wcQqyp21Mc
"@HenriqueCorassa Isso depende da qualidade do cabo e da placa de áudio, no meu da um pouquinho também"
"Hoje não teve. Amanhã tem ;) RT @PoP_Guilherme @FunkyBlackCat boa noite chará, hoje tem live ou já aconteceu?"
Se você soubesse.. RT @Arthcalazans @FunkyBlackCat como alguem pode ter sonhos ruins com containers?
@jokbnb Ainda não sei.. Espero que sim!
De boas aqui vendo o @marcogomez_ falar sobre a vida http://t.co/MSk89VuO2i
"@MarcosVercetti Curti, mas não cheguei a zerar"
@wellingtonschu3 Uns 800 reais
@MarcosVercetti Talvez role sim
@MarcosVercetti Não muito
@Toormat Na verdade só uma dorzinha chata de cabeça
Hoje não vai rolar live galera. Se amanhã rolar eu aviso.
Tive sonhos ruins com containers
"@AllanExtremebr Não acabou do nada não, durou 4:30"
@Vinicius_Erlo Valeu bro
"@HendryPorta Desculpa ter kikado vc, eu realmente não conhecia esse shortening. Manda de novo na proxima"
"Ae, terminei em sétimo a corrida do capeta ali, vamo continuar cola aí COLA AÍ http://t.co/Ifme7OH4L9"
"Convoco todos os membros da crew pra jogar um GTA V aqui na live (primeiro PC, depois vamos pro PS4) http://t.co/s4Ujy3ghoi"
"Ih alá, a live vai começar daqui a pouco. I demand u paste there http://t.co/OCEUwqzQ2e"
"@HenriqueCSADVC Curto sim, mas não conheço muito. Bom, Walk This Way pode ser considerada rock classico. Hard rock, mas rock msm"
@HenriqueCSADVC Só rock classico essa lista
@ViniciusChinen Bluetooth não gasta quase nada de bateria hehe
@Trigonofobico Não tem nenhuma música dos Beatles ali
@Josefilho1521 Porque eu uso bastante e o consumo de bateria é baixo
RED DEAD REDEMPTION - #14: CHOO CHOO MOTHERFUCKER http://t.co/XTby1auml4
"Ae pessoal, recurso novo do app do Youtube! Cliquem ali pra SEMPRE receber notificação de vídeos novos http://t.co/yXILm0obAV"
"@FireknightBR Só tem a pagina deles, não tem musica deles"
@DavidMozul Infelizmente não tenho escolha :/
"@luizbrock91 Deu pau na placa de vídeo, crashou tudo relacionado a video"
"Hoje vai ter LIVE às 20h, mas antes um vídeo de Red Dead Redemption. Daqui uns 30 min no ar."
